update,win_rate,policy,value,entropy,pred,total,lr,eps,pool_size
110,0.68,0.009184010501485318,0.047248692833818495,-2.3867624551057816,0.005684568139258772,0.011783017245761584,0.0002840499999999993,281,5
111,0.68,0.00046203366946429014,0.004437526207766496,-2.4171216189861298,0.021895979647524655,-0.010542429226916283,0.0002839049999999993,281,5
112,0.68,0.004412680224049836,0.02711930696386844,-2.418846011161804,0.0249563587422017,0.006262053793761879,0.0002837599999999993,283,5
113,0.67,0.0053415733855217695,0.07372266030870378,-2.419740065932274,0.004495143606618512,0.020253075432265177,0.00028361499999999927,287,5
114,0.67,0.000544537790119648,0.003593611836549826,-2.452147290110588,0.023091134455171414,-0.010634561418555677,0.00028346999999999926,287,5
115,0.64,0.003921832540072501,0.07254193560220301,-2.4538110494613647,0.013798918516840786,0.022554149501957,0.00028332499999999926,291,5
116,0.63,-0.0009089037193916738,0.058602440636605024,-2.4326533675193787,0.016679549386026338,0.012405558067257516,0.00028317999999999925,294,5
117,0.62,-0.0016460537444800138,0.07643695990554988,-2.4392682909965515,0.007755338949209545,0.016057413566159084,0.00028303499999999924,299,5
118,0.61,-0.0027189850225113332,0.021905169065576047,-2.4599096924066544,0.002145809863577597,-0.015292591793695465,0.00028288999999999924,300,5
119,0.62,-0.004241809598170221,0.03939749230630696,-2.420100137591362,0.014712044518091716,-0.0013880421174690127,0.00028274499999999923,302,5
120,0.63,-0.0021120371238794178,0.03930031415075064,-2.4605211317539215,0.02641759070684202,0.006141704667243175,0.0002825999999999992,304,5
121,0.63,0.001340628950856626,0.024030355125432834,-2.444054752588272,0.010293731815181673,-0.00593787468096707,0.0002824549999999992,305,5
122,0.62,0.0049045097548514605,0.058437292696908116,-2.445565178990364,0.013609421497676522,0.01647221585153602,0.0002823099999999992,308,5
123,0.61,0.0014802643563598394,0.06844857265241444,-2.4440158158540726,0.014186590953613631,0.01835768888122402,0.0002821649999999992,312,5
124,0.6,-0.004096035030670464,0.04121129878330976,-2.425993397831917,0.009453180726268329,-0.003023728815605864,0.0002820199999999992,314,5
125,0.59,0.007071134343277663,0.042582955793477595,-2.4393735080957413,0.009783141285879537,0.008860448055202141,0.0002818749999999992,316,5
126,0.59,-0.004876378574408591,0.025456587492953986,-2.4425949305295944,0.018701295557548292,-0.007223385764518753,0.0002817299999999992,317,5
127,0.56,-0.004850999917834997,0.0660421228967607,-2.4512798339128494,0.03808574957656674,0.022700138710206375,0.0002815849999999992,321,5
128,0.56,-0.00528917764313519,0.05037421965971589,-2.436941087245941,0.002618141155835474,-0.003162407738273032,0.0002814399999999992,324,5
129,0.56,0.005288381886202842,0.05794463329948485,-2.429187387228012,0.0020532335474854335,0.010995441905834014,0.00028129499999999917,327,5
130,0.56,0.007933952118037269,0.024408044875599444,-2.4395510405302048,0.011773903330322355,0.0016294161032419652,0.00028114999999999916,328,5
131,0.57,-0.001857390918303281,0.0359343514428474,-2.4541426301002502,0.0066708059384836815,-0.005096238339319825,0.00028100499999999916,330,5
132,0.58,0.004554556915536523,0.036625218694098294,-2.4214061349630356,0.0086246216960717,0.0029654161480721086,0.00028085999999999915,332,5
133,0.56,0.0035549603635445237,0.04013853275682777,-2.418379098176956,0.008496176138578448,0.003688523982418701,0.00028071499999999914,334,5
134,0.58,0.0016976217739284039,0.05617779400199652,-2.426714777946472,0.003807665176282171,0.0074232039478374645,0.00028056999999999914,337,5
135,0.56,0.001900535193271935,0.059909196803346276,-2.393846943974495,0.022872297384310514,0.019352813542354852,0.00028042499999999913,340,5
136,0.56,0.0039073367370292544,0.07270261808298528,-2.3555605113506317,0.012890977886854671,0.02314853136340389,0.0002802799999999991,345,5
137,0.57,0.000771653896663338,0.0269949440844357,-2.4233723878860474,0.006169197469716892,-0.006879998451040592,0.0002801349999999991,346,5
138,0.58,-0.0006867062184028327,0.041612905100919306,-2.4066503942012787,0.02432804982527159,0.00821726824506186,0.0002799899999999991,348,5
139,0.55,0.006316350481938571,0.058474253746680915,-2.3909578025341034,0.01861581024422776,0.020951804777723737,0.0002798449999999991,351,5
140,0.56,0.0011147621553391218,0.05128519446589053,-2.414679855108261,0.007392985200567637,0.006307053932687268,0.0002796999999999991,354,5
141,0.56,-0.002911900170147419,0.059064747299999,-2.3423782289028168,0.00705906384246191,0.006726223800797015,0.0002795549999999991,357,5
142,0.56,0.004050957737490535,0.0713659767061472,-2.357991009950638,0.008053997342358343,0.020181034327833913,0.0002794099999999991,361,5
143,0.56,-0.0025386736379005015,0.07570796203799546,-2.3701606541872025,0.021617813123157248,0.022422607988119125,0.0002792649999999991,365,5
144,0.57,0.0031315948581323028,0.07252107467502356,-2.384959027171135,0.04106905742082745,0.036077071563340724,0.0002791199999999991,369,5
145,0.57,0.0052964878850616515,0.01890076440759003,-2.4020569771528244,0.02220073696662439,0.0018266695115016773,0.00027897499999999907,370,5
146,0.56,-0.0036761939409188926,0.03556343191303313,-2.4043395966291428,0.02654498044284992,0.003334616092615761,0.00027882999999999906,372,5
147,0.57,0.004163736943155527,0.03845795715460554,-2.369188830256462,0.014444496453506872,0.0069230764856911264,0.00027868499999999906,374,5
148,0.56,0.0045108546619303524,0.05542440863791853,-2.4104326516389847,0.08693366326042451,0.051585564215201885,0.00027853999999999905,378,5
149,0.54,0.007409683661535382,0.08217103919014335,-2.3600687384605408,0.15042376914061606,0.10010639991378412,0.00027839499999999904,382,5
150,0.55,-0.0006788072059862316,0.04895778722129762,-2.3894832134246826,0.08249747996160295,0.041153995247441344,0.00027824999999999904,385,5
151,0.54,0.005066781654022634,0.02421840524766594,-2.395845904946327,0.02208510847412981,0.004260080415406264,0.00027810499999999903,386,5
152,0.54,-0.002618719357997179,0.09222023794427514,-2.348355084657669,0.0059229780454188585,0.022969338519033045,0.000277959999999999,391,5
