CynthAI_v2 self-play  |  3,783,427 params  |  device=cuda  |  3000 updates
 update    win%    policy     value   entropy      pred     total        lr  info  opp
Training:   0%|          | 1/3000 [00:53<44:26:06, 53.34s/updates, WR=33.3%  loss=26.818  lr=1.25e-05  opp=self  eps=6]wandb: WARNING Tried to log to step 1 that is less than the current step 4. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
      1   33.3%    0.0987    1.0311   -2.0024   41.1338   26.8180  1.25e-05  [53.1s  eps=6  pool=0  gn=9.227  cf=0.626  ev=-0.035  am=0.463  as=0.797  rd=0.4008  ia=0.35 aa=0.04 ma=0.08  ae=2.0594  ar=1.8510  rr=0.0036  opp=self]
     53   60.0%    0.0541    0.9696   -0.7090    0.1740    2.0919  2.50e-04  [129.8s  eps=4699  pool=0  gn=2.820  cf=0.310  ev=0.027  am=0.423  as=1.174  rd=0.2817  ia=1.00 aa=1.00 ma=0.69  ae=0.7900  ar=1.7274  rr=0.0042  opp=fo]
     54   99.0%    0.0395    0.9184   -0.6932    0.1715    1.9733  2.50e-04  [61.7s  eps=4818  pool=0  gn=2.582  cf=0.284  ev=0.077  am=1.814  as=0.809  rd=0.2132  ia=1.00 aa=1.00 ma=0.69  ae=0.7942  ar=1.7518  rr=0.0041  opp=ema]
     55  100.0%    0.0168    0.9416   -0.6696    0.1644    1.9931  2.50e-04  [60.7s  eps=4935  pool=0  gn=2.665  cf=0.255  ev=0.055  am=1.785  as=0.790  rd=0.1999  ia=1.00 aa=1.00 ma=0.69  ae=0.7855  ar=1.7202  rr=0.0042  opp=ema]
     56   52.0%    0.0369    0.9594   -0.6817    0.1675    2.0509  2.50e-04  [129.4s  eps=5056  pool=0  gn=2.999  cf=0.305  ev=0.035  am=0.336  as=1.175  rd=0.2472  ia=1.00 aa=1.00 ma=0.69  ae=0.7687  ar=1.6944  rr=0.0044  opp=fo]
     57   99.0%    0.0211    0.8959   -0.5994    0.1590    1.9036  2.50e-04  [59.4s  eps=5171  pool=0  gn=2.686  cf=0.230  ev=0.100  am=1.779  as=0.859  rd=0.1735  ia=1.00 aa=1.00 ma=0.71  ae=0.7344  ar=1.6684  rr=0.0045  opp=ema]
     58   55.0%    0.0349    0.9675   -0.6474    0.1743    2.0695  2.50e-04  [128.7s  eps=5300  pool=0  gn=3.133  cf=0.299  ev=0.028  am=0.443  as=1.174  rd=0.2288  ia=1.00 aa=1.00 ma=0.70  ae=0.7513  ar=1.6454  rr=0.0046  opp=fo]
     59   99.0%    0.0224    0.9226   -0.7576    0.1575    1.9572  2.50e-04  [60.3s  eps=5415  pool=0  gn=2.549  cf=0.247  ev=0.074  am=1.768  as=0.888  rd=0.1855  ia=1.00 aa=1.00 ma=0.71  ae=0.7259  ar=1.6260  rr=0.0047  opp=ema]
     60   99.0%    0.0282    0.8777   -0.6923    0.1561    1.8720  2.50e-04  [58.3s  eps=5530  pool=0  gn=2.693  cf=0.227  ev=0.116  am=1.831  as=0.797  rd=0.1871  ia=1.00 aa=1.00 ma=0.71  ae=0.7715  ar=1.6655  rr=0.0045  opp=ema]
     61   99.0%    0.0192    0.9210   -0.6309    0.1502    1.9457  2.50e-04  [60.6s  eps=5652  pool=0  gn=3.061  cf=0.231  ev=0.074  am=1.948  as=0.933  rd=0.2014  ia=1.00 aa=1.00 ma=0.72  ae=0.8018  ar=1.7173  rr=0.0042  opp=ema]
     62   99.0%    0.0241    0.9050   -0.6942    0.1450    1.9154  2.50e-04  [60.4s  eps=5764  pool=0  gn=2.659  cf=0.219  ev=0.090  am=1.788  as=0.794  rd=0.1732  ia=1.00 aa=1.00 ma=0.74  ae=0.7922  ar=1.6912  rr=0.0044  opp=ema]
     63  100.0%    0.0170    0.9014   -0.6730    0.1445    1.9009  2.50e-04  [60.2s  eps=5881  pool=0  gn=3.082  cf=0.219  ev=0.094  am=1.873  as=0.869  rd=0.1673  ia=1.00 aa=1.00 ma=0.74  ae=0.7833  ar=1.7315  rr=0.0042  opp=ema]
     64  100.0%    0.0149    0.8643   -0.7033    0.1415    1.8224  2.50e-04  [64.5s  eps=5998  pool=0  gn=2.682  cf=0.203  ev=0.132  am=1.837  as=0.829  rd=0.1568  ia=1.00 aa=1.00 ma=0.74  ae=0.8001  ar=1.7382  rr=0.0041  opp=ema]
     65  100.0%    0.0245    0.9006   -0.6763    0.1443    1.9061  2.50e-04  [63.5s  eps=6117  pool=0  gn=2.992  cf=0.234  ev=0.097  am=1.852  as=0.819  rd=0.1732  ia=1.00 aa=1.00 ma=0.74  ae=0.8110  ar=1.7531  rr=0.0041  opp=ema]
     66  100.0%    0.0222    0.8965   -0.6624    0.1409    1.8939  2.50e-04  [61.3s  eps=6231  pool=0  gn=2.737  cf=0.221  ev=0.100  am=1.794  as=0.834  rd=0.1687  ia=1.00 aa=1.00 ma=0.75  ae=0.7810  ar=1.7587  rr=0.0040  opp=ema]
     67   99.0%    0.0128    0.8779   -0.6731    0.1378    1.8453  2.50e-04  [63.3s  eps=6345  pool=0  gn=2.850  cf=0.229  ev=0.118  am=1.919  as=0.846  rd=0.1642  ia=1.00 aa=1.00 ma=0.74  ae=0.7877  ar=1.7784  rr=0.0039  opp=ema]
     68   57.0%    0.0614    0.9677   -0.5947    0.1509    2.0816  2.50e-04  [128.0s  eps=6466  pool=0  gn=2.592  cf=0.250  ev=0.029  am=0.459  as=1.234  rd=0.2498  ia=1.00 aa=1.00 ma=0.74  ae=0.8073  ar=1.7646  rr=0.0040  opp=fo]
     69   98.0%    0.0164    0.9234   -0.6367    0.1342    1.9379  2.50e-04  [59.5s  eps=6576  pool=0  gn=3.254  cf=0.205  ev=0.073  am=1.725  as=0.757  rd=0.1537  ia=1.00 aa=1.00 ma=0.75  ae=0.7907  ar=1.7702  rr=0.0040  opp=ema]
     70  100.0%    0.0212    0.9098   -0.7436    0.1314    1.9135  2.50e-04  [60.1s  eps=6683  pool=0  gn=2.931  cf=0.209  ev=0.085  am=1.761  as=0.789  rd=0.1730  ia=1.00 aa=1.00 ma=0.77  ae=0.7878  ar=1.7645  rr=0.0040  opp=ema]
     71  100.0%    0.0154    0.8591   -0.7243    0.1310    1.8062  2.50e-04  [60.9s  eps=6803  pool=0  gn=2.854  cf=0.205  ev=0.135  am=1.849  as=0.838  rd=0.1541  ia=1.00 aa=1.00 ma=0.77  ae=0.7956  ar=1.7395  rr=0.0041  opp=ema]
